Device,Context,Stream,Kernel,Correlation_ID,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,sysmem_read_utilization,sysmem_write_utilization,sm_efficiency,achieved_occupancy,ipc,issued_ipc,issue_slot_utilization,eligible_warps_per_cycle,tex_utilization,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,dram_read_transactions,dram_write_transactions,dram_read_throughput,dram_write_throughput,dram_utilization,half_precision_fu_utilization,ecc_transactions,ecc_throughput
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,B/s,B/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,123,19.656250,100.000000,86.908784,81.791534,0.101749,0.000000,0.000000,0.000000,0.000000,3.133333,1.000000,0,0,0,0,564,21,0,5,276,34,68.085106,0.000000,0.433886,0.005177,0.584741,0.068220,0.000000,65.641026,100.000000,100.000000,1.832190,0.584741,0.068220,0.896604,0.110451,0.000000,16.632645,0.000000,0.000000,0.000000,0.000000,74.201389,7.589286,564,0,0,0,0,0,0,0,0,0,2516,2772,Low (1),6.721524,15.884448,33.083901,0.000000,0.000000,3.678328,40.392308,0.011404,0.000000,0,0,24746,0,4105,4169,32833,0,2740,288,288,841,457,0,0.000000,0.000000,0,180,0.000877,0.227209,21,0,0,0,0,0,Idle (0),Low (1),4.099139,0.118905,0.131700,0.144971,3.582449,0.156843,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,130,18.250000,100.000000,93.364726,87.869221,0.109589,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,40,0,5,368,53,75.000000,0.000000,1.766882,0.017255,1.766882,0.552150,0.000000,69.565217,100.000000,100.000000,7.067526,1.766882,0.552150,5.079784,0.731599,0.000000,70.675261,0.000000,0.000000,0.000000,0.000000,100.000000,3.125000,512,0,0,0,0,0,0,0,0,0,2336,2592,Low (1),26.139943,13.646730,21.605771,0.000000,0.000000,2.260492,36.107362,0.000000,0.000000,0,0,24616,0,4096,4136,32838,0,2572,266,266,808,424,0,0.000000,0.000000,0,128,0.022496,0.217206,40,0,0,0,0,0,Idle (0),Low (1),5.309402,0.235195,0.325122,0.293511,7.281169,0.322953,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,141,34.968750,100.000000,50.220621,47.253407,0.057194,0.000000,0.000000,0.000000,0.000000,1.820513,1.000000,0,0,0,0,852,130,0,5,564,143,45.070423,0.000000,0.506397,0.029924,1.445635,0.401565,0.000000,39.103870,100.000000,100.000000,2.631797,1.445635,0.401565,1.742176,0.441722,0.000000,15.815494,0.000000,0.000000,0.000000,0.000000,35.029380,7.451923,852,0,0,0,0,0,0,0,0,0,4476,4732,Low (1),17.279436,11.810350,44.414674,0.000000,0.000000,2.729985,23.570050,0.047610,0.000000,0,0,25726,0,4176,4566,33218,0,4512,486,486,1238,854,0,0.000000,0.000000,0,468,0.005065,0.142830,130,0,0,0,0,0,Idle (0),Low (1),13.450900,0.054236,0.059942,0.063370,1.510606,0.080632,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,4,0.000000,0.012356,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,148,23.125000,100.000000,74.527027,70.141470,0.086486,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,196,0,5,416,209,75.000000,0.000000,1.719882,0.096155,1.719882,2.633569,0.000000,56.451613,100.000000,100.000000,6.879526,1.719882,2.633569,5.589615,2.808244,0.000000,68.795261,0.000000,0.000000,0.000000,0.000000,100.000000,3.651148,512,0,0,0,0,0,0,0,0,0,2960,3216,Low (1),24.792193,14.368556,21.100126,0.000000,0.000000,3.373355,34.972065,0.000000,0.000000,0,0,24816,0,4096,4336,33188,0,3118,305,305,1000,580,0,0.000000,0.000000,0,128,0.981120,0.412585,196,0,0,0,0,0,Idle (0),Low (1),6.579806,0.237570,0.315666,0.342967,8.312893,0.476705,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,167,240,2.243908,3.224778,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,159,109.703125,99.307479,18.582645,17.422287,0.018231,0.000000,0.000000,0.000000,0.000000,1.337924,1.118168,0,0,0,0,2526,757,0,5,2235,770,15.320665,0.000000,0.921603,0.154671,5.785204,2.047405,0.000000,12.029162,100.000000,85.601057,6.683142,5.785204,2.047405,6.044849,2.082565,0.000000,13.847707,0.000000,0.000000,0.000000,0.000000,15.930341,7.554491,2471,0,0,0,0,0,0,0,0,0,14042,14298,Low (1),8.541426,10.044741,69.338239,0.000000,0.000000,2.214704,9.570206,0.109317,0.000000,0,0,31398,0,4576,6878,35440,0,13166,1444,1444,3475,2821,0,0.000000,0.000000,0,2139,0.010145,0.171222,757,0,0,0,0,0,Idle (0),Low (1),19.024346,0.081578,0.144963,0.150035,3.453902,0.146834,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,166,32.250000,100.000000,56.831395,53.483830,0.062016,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,488,0,5,428,501,75.000000,0.000000,1.692412,0.471859,1.692412,6.452322,0.000000,60.103627,100.000000,100.000000,6.769649,1.692412,6.452322,5.659004,6.624207,0.000000,67.696490,0.000000,0.000000,0.000000,0.000000,100.000000,7.313012,512,0,0,0,0,0,0,0,0,0,4128,4384,Low (1),21.880455,14.871013,19.131654,0.000000,0.000000,3.585811,31.887464,0.000000,0.000000,0,0,25936,0,4096,5456,35148,0,4140,378,378,1800,872,0,0.000000,0.000000,0,128,7.513160,1.130444,488,0,0,0,0,0,Idle (0),Low (1),6.988568,0.232703,0.489912,0.520294,12.283408,0.574878,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,177,291.273438,95.474758,12.547106,11.328219,0.006866,0.000000,0.000000,0.000000,0.000000,1.996472,1.822190,0,0,0,0,10751,3761,0,5,10322,3774,4.920473,0.000000,2.816375,0.659995,22.833109,8.401029,0.000000,4.552901,100.000000,100.000000,20.867433,22.833109,8.401029,23.056481,8.430068,0.000000,11.436658,0.000000,0.000000,0.000000,0.000000,12.334609,7.856122,9342,0,0,0,0,0,0,0,0,0,37283,37539,Low (1),4.008528,7.546740,81.674511,0.000000,0.000000,1.834905,4.670999,0.111880,0.000000,0,0,61716,0,7103,18893,47438,0,34224,3823,3823,12924,7705,0,0.000000,0.000000,0,10222,0.008531,0.143906,3761,0,0,0,0,0,Idle (0),Low (1),19.244770,0.169602,0.330166,0.328287,7.482422,0.317295,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,4,0,0.008935,0.000000,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,184,33.000000,100.000000,68.750000,64.645478,0.060606,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,512,0,5,224,525,75.000000,0.000000,1.695421,1.860989,1.695421,6.781684,0.000000,74.481659,100.000000,100.000000,6.781684,1.695421,6.781684,2.966987,6.953875,0.000000,67.816840,0.000000,0.000000,0.000000,0.000000,100.000000,27.441406,512,0,0,0,0,0,0,0,0,0,4224,4480,Low (1),21.956584,14.896378,19.011189,0.000000,0.000000,2.843618,31.653438,0.000000,0.000000,0,0,30400,0,4096,9920,42960,0,4224,384,384,2764,896,0,0.000000,0.000000,0,128,8.339595,1.299198,512,0,0,0,0,0,Idle (0),Low (1),6.064377,0.238708,0.417598,0.532193,12.544547,0.727726,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Idle (0),0.000000,0.000000,0.000000,56,0,0.741747,0.000000,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,195,378.984375,86.763636,25.927901,20.557746,0.005813,0.000000,0.000000,0.000000,0.000000,4.672787,3.574638,0,0,0,0,32574,9387,0,5,31387,9400,4.822865,0.000000,7.921371,1.636549,65.664231,19.881629,0.000000,4.682116,100.000000,100.000000,40.642226,65.664231,19.881629,66.477542,19.909163,0.000000,10.844139,0.000000,0.000000,0.000000,0.000000,12.063450,8.231464,19189,0,0,0,0,0,0,0,0,0,48510,48766,Low (1),3.016649,8.569175,82.640979,0.000000,0.000000,2.563681,2.918005,0.118803,0.000000,0,0,158221,0,22146,50975,87798,0,44421,5500,5500,26094,9853,0,0.000000,0.000000,0,31003,0.008089,0.164618,9387,0,0,0,0,0,Idle (0),Low (1),21.533836,0.194570,0.359955,0.359279,8.181688,0.346460,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,4,4,0.008472,0.008472,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,202,33.000000,100.000000,74.976326,70.478220,0.060606,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,512,0,5,416,525,75.000000,0.000000,2.036678,3.020210,2.036678,8.146711,0.000000,74.960876,100.000000,100.000000,8.146711,2.036678,8.146711,6.619202,8.353561,0.000000,81.467106,0.000000,0.000000,0.000000,0.000000,100.000000,37.072754,512,0,0,0,0,0,0,0,0,0,4224,4480,Low (1),4.916592,18.094385,23.102179,0.000000,0.000000,4.351143,38.322887,0.000000,0.000000,0,0,32504,0,4096,12024,46642,0,4224,384,384,2812,896,0,0.000000,0.000000,0,128,9.693894,1.518920,512,0,0,0,0,0,Idle (0),Low (1),5.623998,0.236042,0.501782,0.528988,12.469005,0.715079,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (2),Low (1),Idle (0),0.000000,0.000000,0.000000,0,4,0.000000,0.063646,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,213,280.742188,84.722222,34.904341,27.100320,0.007124,0.000000,0.000000,0.000000,0.000000,5.783385,1.411667,0,0,0,0,26245,1694,0,5,25551,1707,4.107449,0.000000,9.824731,0.675856,92.300646,6.212790,0.000000,5.158534,100.000000,100.000000,42.957741,92.300646,6.212790,93.708976,6.260468,0.000000,18.777737,0.000000,0.000000,0.000000,0.000000,10.644271,10.878468,11713,0,0,0,0,0,0,0,0,0,35935,36191,Low (1),4.799571,9.724386,78.031666,0.000000,0.000000,3.131087,4.035079,0.098918,0.000000,0,0,151379,0,34382,36513,89356,0,32853,5112,5112,13922,5994,0,0.000000,0.000000,0,25167,0.011195,0.168099,1694,0,0,0,0,0,Idle (0),Low (1),19.253832,0.203030,0.373091,0.391703,8.889376,0.376377,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,208,8,0.762846,0.029340,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,220,30.750000,100.000000,58.396850,54.946329,0.065041,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,440,0,5,224,453,75.000000,0.000000,2.038855,0.420613,2.038855,7.008563,0.000000,57.228916,100.000000,100.000000,8.155419,2.038855,7.008563,3.567996,7.215634,0.000000,81.554190,0.000000,0.000000,0.000000,0.000000,100.000000,6.001420,512,0,0,0,0,0,0,0,0,0,3936,4192,Low (1),3.281628,11.282396,31.969457,0.000000,0.000000,2.714947,45.667451,0.000000,0.000000,0,0,25556,0,4096,5076,34483,0,3972,366,366,1584,824,0,0.000000,0.000000,0,128,4.270918,0.813203,440,0,0,0,0,0,Idle (0),Low (1),5.566001,0.229623,0.472056,0.414803,9.825846,0.543835,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,231,103.351562,95.115935,21.282788,20.130017,0.019351,0.000000,0.000000,0.000000,0.000000,2.010566,1.000000,0,0,0,0,2664,116,0,5,2370,129,14.639640,0.000000,1.912708,0.047855,13.393376,0.683215,0.000000,16.840640,100.000000,100.000000,14.400529,13.393376,0.683215,13.958795,0.759783,0.000000,30.155709,0.000000,0.000000,0.000000,0.000000,14.281003,7.004310,2445,0,0,0,0,0,0,0,0,0,13229,13485,Low (1),11.657568,11.707098,63.335301,0.000000,0.000000,2.703832,10.235115,0.101714,0.000000,0,0,34787,0,6425,6566,37439,0,12294,2027,2027,2911,1697,0,0.000000,0.000000,0,2274,0.024323,0.235049,116,0,0,0,0,0,Idle (0),Low (1),14.138522,0.158738,0.295093,0.300803,6.855900,0.287780,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,238,17.250000,100.000000,98.596014,92.796082,0.115942,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0,0,0,0,512,8,0,5,2016,21,75.000000,0.000000,2.126364,0.004153,2.126364,0.132898,0.000000,73.846154,100.000000,100.000000,8.505457,2.126364,0.132898,33.490235,0.348857,0.000000,85.054565,0.000000,0.000000,0.000000,0.000000,100.000000,3.125000,512,0,0,0,0,0,0,0,0,0,2208,2464,Low (1),38.024282,11.210594,18.042940,0.000000,0.000000,2.564235,29.999870,0.000000,0.000000,0,0,24584,0,4096,4104,32782,0,2460,258,258,776,392,0,0.000000,0.000000,0,128,0.001944,0.156135,8,0,0,0,0,0,Idle (0),Low (1),5.759708,0.242114,0.313949,0.282439,7.049519,0.309606,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,0,0,0.000000,0.000000,Idle (0),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z6KernelP4NodePiPbS2_S2_S1_i,249,17.734375,100.000000,95.988436,90.344163,0.112775,0.000000,0.000000,0.000000,0.000000,3.782609,1.000000,0,0,0,0,522,2,0,5,242,15,73.563218,0.000000,1.463659,0.000709,1.566154,0.022698,0.000000,73.282443,100.000000,100.000000,5.924148,1.566154,0.022698,2.746444,0.170234,0.000000,58.106584,0.000000,0.000000,0.000000,0.000000,93.455616,3.125000,522,0,0,0,0,0,0,0,0,0,2270,2526,Low (1),25.003244,13.385490,23.696523,0.000000,0.000000,2.197458,35.516544,0.004580,0.000000,0,0,24623,0,4103,4108,32790,0,2516,269,269,780,396,0,0.000000,0.000000,0,138,0.001527,0.194634,2,0,0,0,0,0,Idle (0),Low (1),5.800122,0.187022,0.200565,0.223184,5.557519,0.243455,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,12,4,0.136187,0.045396,Low (1),Idle (0),0,0.000000
GeForce GTX 1080 Ti (0),1,7,_Z7Kernel2PbS_S_S_i,256,17.000000,100.000000,100.000000,94.117647,0.117647,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0,0,0,0,512,0,0,5,368,13,75.000000,0.000000,2.143088,0.000000,2.143088,0.000000,0.000000,75.000000,100.000000,0.000000,8.572353,2.143088,0.000000,6.161379,0.217657,0.000000,85.723534,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,512,0,0,0,0,0,0,0,0,0,2176,2432,Low (1),7.361601,16.921047,27.360813,0.000000,0.000000,2.757154,45.359119,0.000000,0.000000,0,0,24576,0,4096,4096,32768,0,2432,256,256,768,384,0,0.000000,0.000000,0,128,0.000000,0.240266,0,0,0,0,0,0,Idle (0),Low (1),4.812460,0.244836,0.215062,0.350230,8.755760,0.385369,Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),Low (1),Low (1),Idle (0),0.000000,0.000000,0.000000,24,4,0.401829,0.066972,Low (1),Idle (0),0,0.000000
