stat,raw_value,agg_value
INST_COUNT_TOT,687718,687718
UOP_COUNT_TOT,687718,687718
CYC_COUNT_TOT,217807894,217807894
EXE_TIME,107,107
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,217807893,217807893
AVG_BLOCK_EXE_CYCLE,108637327231,108637327231
AVG_BLOCK_EXE_CYCLE_BASE,977,977
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,34496,34496
UOP_COUNT_CORE_0,34496,34496
CYC_COUNT_CORE_0,277415,277415
INST_COUNT_CORE_1,34496,34496
UOP_COUNT_CORE_1,34496,34496
CYC_COUNT_CORE_1,277397,277397
INST_COUNT_CORE_2,34496,34496
UOP_COUNT_CORE_2,34496,34496
CYC_COUNT_CORE_2,276781,276781
INST_COUNT_CORE_3,34496,34496
UOP_COUNT_CORE_3,34496,34496
CYC_COUNT_CORE_3,276758,276758
INST_COUNT_CORE_4,34496,34496
UOP_COUNT_CORE_4,34496,34496
CYC_COUNT_CORE_4,276297,276297
INST_COUNT_CORE_5,34496,34496
UOP_COUNT_CORE_5,34496,34496
CYC_COUNT_CORE_5,277094,277094
INST_COUNT_CORE_6,34496,34496
UOP_COUNT_CORE_6,34496,34496
CYC_COUNT_CORE_6,277123,277123
INST_COUNT_CORE_7,34496,34496
UOP_COUNT_CORE_7,34496,34496
CYC_COUNT_CORE_7,276786,276786
INST_COUNT_CORE_8,34496,34496
UOP_COUNT_CORE_8,34496,34496
CYC_COUNT_CORE_8,278163,278163
INST_COUNT_CORE_9,34496,34496
UOP_COUNT_CORE_9,34496,34496
CYC_COUNT_CORE_9,276730,276730
INST_COUNT_CORE_10,34496,34496
UOP_COUNT_CORE_10,34496,34496
CYC_COUNT_CORE_10,276597,276597
INST_COUNT_CORE_11,34496,34496
UOP_COUNT_CORE_11,34496,34496
CYC_COUNT_CORE_11,276564,276564
INST_COUNT_CORE_12,34496,34496
UOP_COUNT_CORE_12,34496,34496
CYC_COUNT_CORE_12,278172,278172
INST_COUNT_CORE_13,33792,33792
UOP_COUNT_CORE_13,33792,33792
CYC_COUNT_CORE_13,277803,277803
INST_COUNT_CORE_14,33702,33702
UOP_COUNT_CORE_14,33702,33702
CYC_COUNT_CORE_14,277164,277164
INST_COUNT_CORE_15,33792,33792
UOP_COUNT_CORE_15,33792,33792
CYC_COUNT_CORE_15,273167,273167
INST_COUNT_CORE_16,34496,34496
UOP_COUNT_CORE_16,34496,34496
CYC_COUNT_CORE_16,276672,276672
INST_COUNT_CORE_17,34496,34496
UOP_COUNT_CORE_17,34496,34496
CYC_COUNT_CORE_17,278030,278030
INST_COUNT_CORE_18,34496,34496
UOP_COUNT_CORE_18,34496,34496
CYC_COUNT_CORE_18,276450,276450
INST_COUNT_CORE_19,34496,34496
UOP_COUNT_CORE_19,34496,34496
CYC_COUNT_CORE_19,276639,276639
